ROBERTa,,,,,,,,,,,
,Item,MR1-1,MR1-2,MR1-3,MR1-4,MR2-1,MR2-2,MR2-3,,BETTER COUNT,17
Gaussian Fuzzing,2-tailed,0.01367,0.00391,0.55664,0.00195,0.00195,0.92188,0.01367,,SIMILAR COUNT,7
,1-tailed,0.00684,0.00195,0.27832,0.000977,0.000977,0.460938,0.006836,,WORSE COUNT,4
,Conclusion,BETTER,BETTER,SIMILAR,BETTER,BETTER,SIMILAR,BETTER,,,
,,,,,,,,,,,
Weight Shuffling,2-tailed,0.00195,0.00195,0.00195,0.00195,0.160156,0.00195,0.00195,,,
,1-tailed,0.000977,0.000977,0.000977,0.000977,0.93457,1,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,SIMILAR,WORSE,WORSE,,,
,,,,,,,,,,,
Neuron Effect Blocking,2-tailed,0.003906,0.00195,0.00391,0.00195,0.06445,0.27539,0.001953,,,
,1-tailed,0.00195,0.000977,0.00195,0.000977,0.032227,0.883789,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,SIMILAR,SIMILAR,WORSE,,,
,,,,,,,,,,,
Neuron Switch,2-tailed,0.00195,0.00195,0.009766,0.00195,0.160156,0.921875,0.001953,,,
,1-tailed,0.000977,0.000977,0.00488,0.000977,0.080078,0.577148,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,SIMILAR,SIMILAR,WORSE,,,
,,,,,,,,,,,
,,,,,,,,,,,
T5,,,,,,,,,,,
,Item,MR1-1,MR1-2,MR1-3,MR1-4,MR2-1,MR2-2,MR2-3,,BETTER COUNT,19
Gaussian Fuzzing,2-tailed,0.00195,1,0.43164,0.00195,0.00195,0.23242,0.374259,,SIMILAR COUNT,6
,1-tailed,0.000977,0.53906,0.8125,0.000977,0.000977,0.11621,0.18713,,WORSE COUNT,3
,Conclusion,BETTER,SIMILAR,SIMILAR,BETTER,BETTER,SIMILAR,SIMILAR,,,
,,,,,,,,,,,
Weight Shuffling,2-tailed,0.00195,0.00195,0.00195,0.00195,0.00195,0.048828,0.00195,,,
,1-tailed,0.000977,0.000977,0.000977,0.000977,0.000977,0.024414,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,,,
,,,,,,,,,,,
Neuron Effect Blocking,2-tailed,0.00195,0.00195,0.00391,0.00195,0.00391,0.193359,0.00195,,,
,1-tailed,0.000977,0.000977,0.00195,0.000977,0.00195,0.09668,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,BETTER,SIMILAR,WORSE,,,
,,,,,,,,,,,
Neuron Switch,2-tailed,0.00195,0.00391,0.00391,0.00195,0.00391,0.43164,0.00195,,,
,1-tailed,0.000977,0.00195,0.00195,0.000977,0.00195,0.8125,1,,,
,Conclusion,BETTER,BETTER,BETTER,BETTER,BETTER,SIMILAR,WORSE,,,
